Age,Gender,Experience_Years,Year_Salary,Bonus_Stocks,Vacation_Days,Work_Language,Company_Type,Fired_By_Corona
31,Male,9,50000,0,23,German,Product,No
29,Male,10,78000,2000,30,English,Startup,No
39,Male,6,60000,0,25,English,Product,No
35,Male,10,75000,0,30,English,Startup,No
38,Male,24,130000,0,30,English,Product,Yes
31,Male,10,115000,25000,25,English,Startup,No
32,Male,7,65000,0,24,English,Startup,No
35,Male,10,75000,10000,28,English,Product,No
28,Male,2,36000,2400,36,English,Product,No
30,Female,6,76000,10000,27,English,Product,No
30,Male,5,90000,1150000,26,English,Product,No
26,Male,2,54000,1000,27,English,Product,No
25,Male,3,65000,10000,27,English,Product,No
30,Male,3,30000,0,30,English,Product,No
27,Male,4,66000,6000,30,English,Consulting / Agency,No
28,Male,7,60000,9000,28,English,Product,No
22,Male,4,63000,0,30,English,Startup,No
37,Female,2,62000,0,30,German,Publisher,No
25,Male,1,51000,10000,28,English,Product,No
33,Male,11,154000,0,22,German,Startup,No
38,Male,20,200000,200000,0,English,Consulting / Agency,Yes
25,Male,5,57000,0,24,English,Consulting / Agency,No
26,Female,4,45000,0,25,English,Startup,Yes
29,Male,3,43000,4300,28,English,Product,No
22,Female,4,39000,0,24,English,Startup,No
30,Male,4,73000,0,26,English,Product,No
30,Male,11,74000,11000,28,English,Product,No
28,Female,10,86000,30000,31,English,Product,No
29,Male,9,74000,0,30,English,Startup,No
32,Male,10,55000,55000,28,English,Product,No
36,Male,4,40000,0,28,English,University,No
32,Male,7,85000,5000,27,English,Product,No
30,Female,4,56000,0,30,English,Product,No
29,Male,7,70000,0,30,English,Product,No
32,Female,10,68000,0,30,English,Product,No
34,Male,10,70000,0,30,English,Product,No
30,Male,6,72000,85000,27,English,Startup,No
40,Male,15,80000,0,28,English,Product,No
35,Male,15,77000,20000,30,English,Product,No
31,Male,8,77000,0,27,English,Product,No
38,Male,15,56000,59000,21,English,Product,No
39,Male,10,80000,0,30,English,Energy ,No
35,Male,13,90000,0,31,English,Startup,No
30,Female,5,54000,0,28,English,Product,No
29,Female,0,20000,20000,25,English,Product,No
36,Male,18,98000,25000,30,English,Product,No
41,Male,20,93000,1000,29,English,Product,No
41,Male,18,100000,100000,28,English,Product,No
28,Female,6,70000,0,27,English,Product,No
33,Male,10,75000,0,26,English,Startup,No
31,Male,3,63000,63909,30,German,Product,No
29,Male,5,70000,0,27,English,Product,No
23,Male,3,80000,100000,28,English,Product,No
25,Male,4.5,75000,15000,30,English,Startup,No
34,Male,10,85000,0,30,English,Startup,No
45,Male,30,55000,0,24,English,Startup,No
37,Male,15,78000,0,28,English,Product,No
31,Male,9,99000,99000,30,English,Startup,No
32,Male,15,90000,0,25,English,Product,No
45,Female,15,52000,0,28,English,Product,No
42,Male,16,36000,0,30,English,Product,No
23,Male,4,45000,0,26,English,Product,No
36,Male,14,75000,0,30,English,Product,No
40,Male,20,85000,15000,30,English,Enterprise,No
28,Male,7,95000,40000,28,English,Product,No
35,Male,15,63000,7000,30,German,Product,No
37,Male,12,102000,0,30,English,Startup,No
33,Male,10,95000,15000,30,English,Product,No
33,Male,13,78600,0,30,English,Product,No
31,Male,10,70000,77000,28,English,Product,No
31,Male,4,67000,70500,30,English,Product,No
28,Male,3,42000,0,30,English,Consulting / Agency,No
31,Male,6,53000,0,30,English,Consulting / Agency,No
40,Male,20,250000,450000,45,English,Product,No
25,Female,3,53000,5000,30,German,Product,No
35,Male,9,77000,0,28,German,Startup,No
35,Male,15,80000,80000,30,English,Consulting / Agency,No
41,Male,20,58800,20700,35,German,Bloody enterprise,No
33,Male,8,75000,1000,30,English,service,No
33,Male,13,85000,5000,26,English,Startup,No
38,Male,15,70000,75000,26,English,Product,No
35,Male,10,78000,78000,27,German,Product,No
36,Female,5,75000,0,28,English,Startup,No
49,Male,27,57000,0,30,German,Consulting / Agency,No
32,Male,10,120000,0,0,Deuglisch,Concern,Yes
32,Female,6,75000,0,28,English,Startup,No
27,Female,1,63000,0,27,English,Product,No
31,Male,6,60000,15000,30,English,Consulting / Agency,No
31,Male,8,60000,6000,30,English,Product,No
28,Male,4,44000,6000,30,German,Product,No
28,Female,3,54500,0,28,English,Product,No
27,Male,2,90000,7000,31,English,Product,No
29,Male,8,82500,0,30,English,Product,No
32,Female,10,75000,0,27,English,Startup,Yes
28,Male,5,60000,0,30,English,Product,No
34,Female,13,108000,0,28,English,Product,No
38,Male,16,85000,0,24,English,Product,No
29,Male,3,54000,6000,30,German,Utilities,No
30,Male,7,65000,9000,33,English,Product,No
33,Female,6,42000,0,28,English,Product,Yes
30,Male,6,51000,4250,30,German,Product,No
31,Male,5,76000,20000,28,English,Startup,No
37,Male,16,65000,0,30,English,Product,No
32,Male,13,85000,89000,27,English,Bank,No
32,Female,9,60000,0,30,German,Product,No
40,Male,13,90000,10000,30,English,Product,No
30,Male,7,86000,0,30,English,Product,No
32,Male,10,81000,45000,30,English,Product,No
32,Male,7,60000,0,30,English,Product,Yes
34,Male,12,74000,0,30,English,Product,No
43,Male,10,57600,8000,26,German,Product,No
33,Male,13,70000,0,24,English,Startup,No
28,Female,8,75000,0,30,English,Product,No
33,Male,11,65000,0,28,English,Product,No
33,Male,11,90000,0,28,English,Product,No
51,Male,30,60000,5000,30,German,Consulting / Agency,No
35,Male,8,90000,100000,30,English,Product,No
35,Male,1,30000,0,26,German,Product,No
28,Male,6,64000,9000,30,English,Product,No
